ID,Area of School Connectedness,Strategic Action,Short Description,Link to Resource,Reference Link,Source Material Type,Implementation Level (Classroom (C)/School (S) /Both(B)),Activity Type (Activity (A) or Professional Learning (PL)),Time to prepare/learn,Time to implement,Ease of Use,Notes,Resources Needed,Category,Building Block,notes,Selected from selected,Notes
1,Welcoming Environment,School Environment,"A change idea for making the school environment an inviting place to be, have students be welcomed by name by someone who they know
when they enter the school and classrooms.",https://drive.google.com/file/d/1Yvs9UtpSf3SFJRoM56j5bgYKUtPOpOEg/view?usp=drive_link,,Folder,B,A & PL,Dependent on the chosen activity,Dependent on the chosen activity,Medium to Difficult,,https://drive.google.com/file/d/1Yvs9UtpSf3SFJRoM56j5bgYKUtPOpOEg/view?usp=drive_link,single-pdfs,,,,
2,Welcoming Environment,School Climate student voice,"A change idea guide focused on accessing, encouraging and incorporating student voice in forming school discipline policy and implementation. Have students
conduct a school climate audit.",https://drive.google.com/drive/u/1/folders/1GVfqONuscjIjAk_aPIVMW-Jha0pt_-dl,,Folder,B,A,30min,"Up to a week to create, administer, and analyze",Medium to Difficult,,https://drive.google.com/file/d/1sZKtb9QzZrwZWIeK3EPwED_X107kbw73/view?usp=drive_link,single-pdfs,,,,
3,Welcoming Environment,ECMC Group Elevates Student Voices with its Question the Quo,ECMC Group Elevates Student Voices with its Question the Quo Campaign,https://shortyawards.com/15th/cmc-group-elevates-student-voices-with-its-question-the-quo-campaign ,,Web Article with Video,B,A & PL,30-60min,2-20hours,Medium,Creating similar “elevate voices” recordings in schools/classrooms,https://www.questionthequo.org/voices/,single-web,,technology access;,,
4,Welcoming Environment,Text-messaging to Parents to get parents connected to schools,"Texting as a path to building trust
Helps parents with questions to ask their kids for parents to help their kids feel more connected to parents and schools",https://www.edutopia.org/article/using-technology-connect-parents/,https://journals.sagepub.com/doi/pdf/10.1177/00317217221092229?casa_token=DwD1Lo-V-GYAAAAA:Cl59aiUKibVorFO0kG1fkTVdg6dQvXP3wPmoooCNguor2Dy8-aVpoAq3mJmnuapGdGSiD_DB-rVu5Q,Journal Article,B,A,30-60min,30-60min,Easy,"Once there is a format for the groups texting to parents, it can be Short to implement each week",Bachman-Texting-2022.pdf,single-pdfs,,teacher student intervention; other resources have texting examples,,
5,Welcoming Environment,Conflict Continuum,"Students take a stand along a ""Strongly Agree <--> Strongly Disagree"" line on statements about conflict/discipline, brifely explain their positions, then doa quick debrief.This activity aims to develop self-awareness self-management, decision-making skills, and responsible behaviors in personal, school, and community contexts. ",https://drive.google.com/file/d/1VB1tnICs1Xi-ujfat46aP7inVpqVxrXv/view?usp=sharing,https://www.hsredesign.org/wp-content/uploads/2019/08/RJ_handbook.pdf,PDF,C,A,60min,30-60min per activity,Medium,Great definitions of Restorative justice; Explicit activities directions,,multiple-pdfs,,pages that have activity directions,"Warm ups and checkins: https://drive.google.com/file/d/17A9zSm0ttC9MEsqpmnbYrrdg-U_vx01h/view?usp=sharing 

Conflict continuum: https://drive.google.com/file/d/1VB1tnICs1Xi-ujfat46aP7inVpqVxrXv/view?usp=sharing","Activity: Warm Ups and Check-ins - p.29 
Activity: Conflict Continuum - p.16–p.17

1 activity from restorative justice; 1 from community building in the classroom; will still provide the overall handbook as a reference"
6,Welcoming Environment,Warm Ups and Check-ins,"Students stand in a big circle; on “Mingle!” they greet, then form groups by the called number to answer a quick prompt—repeat 2–3 rounds to warm up, check in, and build community. This activity aims to build active listening, perspective-taking, communication, and reflection.",https://drive.google.com/file/d/17A9zSm0ttC9MEsqpmnbYrrdg-U_vx01h/view?usp=sharing,https://www.hsredesign.org/wp-content/uploads/2019/08/RJ_handbook.pdf,PDF,C,A,60min,30-60min per activity,Medium,,,,,,,
7,Welcoming Environment,Community Murals,"Using community inspired murals to celebrate unity through art, recognising the transformative power of creativity, understanding, and community engagement.

Murals on walls that include people from all student identity groups
- Could change each year
- Students could vote on designs
- Incorporating positive messaging
- Students could do the muraling/designing",https://www.cocreativeconnection.com/post/celebrating-diversity-the-power-of-inclusion-in-community-mural-projects ,,Website article,S,A,"2-3 hours
",2-20 hours,Difficult,,,single-no action plan,,,,
8,Welcoming Environment,Building Better student relationships,"An article about 6 strategies for building better student relationships
 ",https://www.edutopia.org/article/6-strategies-building-better-student-relationships,,PDF,C,A,30min,30min,Easy,,,multiple-strategies on one webpage,,May be written as lesson plan format?,"ST1: https://drive.google.com/file/d/1147nxAwn7wd62K0MfP5wFvkYtpr86Ci6/view?usp=sharing 

ST2: https://drive.google.com/file/d/18rvXqLzMgHuWj2CigCasJKN6MOq_EEIv/view?usp=sharing  

ST3: https://drive.google.com/file/d/1N4iuug7opyEbAkWEu2YMi4XjBmeLB5Eb/view?usp=sharing 

ST5: https://drive.google.com/file/d/1rLYYytgKBOK80n1UnuGDLjl5qR2sGxA2/view?usp=sharing","Strategy 1: B1 & B2
Strategy 2: B2 & B4
Strategy 3: B2 & B3 & B4
Strategy 5: B1

Selected relevant activities based on the building blocks (B), but we do not think that they are standalone activities that can be turned into lesson plans. They are rather smaller activities that can be inserted into a lesson plan. "
9,Welcoming Environment,Learning Names Quickly and Correctly,A strategy for building better student relationships: learning names and honoring identities,"https://drive.google.com/file/d/1147nxAwn7wd62K0MfP5wFvkYtpr86Ci6/view?usp=sharing 
",https://www.edutopia.org/article/6-strategies-building-better-student-relationships,PDF,C,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,"https://drive.google.com/file/d/1147nxAwn7wd62K0MfP5wFvkYtpr86Ci6/view?usp=sharing 
",,"B1, B2","May be written as lesson plan format?; Selected relevant activities based on the building blocks (B), but we do not think that they are standalone activities that can be turned into lesson plans. They are rather smaller activities that can be inserted into a lesson plan. ",,
10,Welcoming Environment,Show-and-tell,A strategy for building better student relationships: students share something that represents who they are and explain why it matters,https://drive.google.com/file/d/18rvXqLzMgHuWj2CigCasJKN6MOq_EEIv/view?usp=sharing,https://www.edutopia.org/article/6-strategies-building-better-student-relationships,PDF,C,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,https://drive.google.com/file/d/18rvXqLzMgHuWj2CigCasJKN6MOq_EEIv/view?usp=sharing,,"B2, B4","May be written as lesson plan format?; Selected relevant activities based on the building blocks (B), but we do not think that they are standalone activities that can be turned into lesson plans. They are rather smaller activities that can be inserted into a lesson plan. ",,
